Tempo (s),Tensao (V)
0.000000,0.2859
0.000176,0.2864
0.000351,0.2879
0.000527,0.2881
0.000702,0.2866
0.000878,0.2870
0.001053,0.2864
0.001229,0.2858
0.001404,0.2863
0.001580,0.2882
0.001756,0.2877
0.001931,0.2887
0.002107,0.2909
0.002282,0.2925
0.002458,0.2963
0.002633,0.2996
0.002809,0.3023
0.002984,0.3034
0.003160,0.3041
0.003336,0.3036
0.003511,0.3038
0.003687,0.3035
0.003862,0.3046
0.004038,0.3058
0.004213,0.3065
0.004389,0.3082
0.004564,0.3110
0.004740,0.3128
0.004916,0.3126
0.005091,0.3134
0.005267,0.3132
0.005442,0.3131
0.005618,0.3112
0.005793,0.3122
0.005969,0.3125
0.006144,0.3116
0.006320,0.3097
0.006496,0.3082
0.006671,0.3060
0.006847,0.3028
0.007022,0.3021
0.007198,0.3004
0.007373,0.2986
0.007549,0.2972
0.007725,0.2970
0.007900,0.2958
0.008076,0.2957
0.008251,0.2963
0.008427,0.2951
0.008602,0.2949
0.008778,0.2948
0.008953,0.2941
0.009129,0.2989
0.009305,0.3042
0.009480,0.3114
0.009656,0.3164
0.009831,0.3223
0.010007,0.3252
0.010182,0.3255
0.010358,0.3236
0.010533,0.3238
0.010709,0.3245
0.010885,0.3233
0.011060,0.3248
0.011236,0.3246
0.011411,0.3236
0.011587,0.3191
0.011762,0.3144
0.011938,0.3104
0.012113,0.3054
0.012289,0.3039
0.012465,0.3036
0.012640,0.3024
0.012816,0.3030
0.012991,0.3029
0.013167,0.3022
0.013342,0.3013
0.013518,0.3003
0.013693,0.2962
0.013869,0.2945
0.014045,0.2906
0.014220,0.2882
0.014396,0.2867
0.014571,0.2871
0.014747,0.2875
0.014922,0.2873
0.015098,0.2883
0.015273,0.2888
0.015449,0.2883
0.015625,0.2886
0.015800,0.2887
0.015976,0.2892
0.016151,0.2884
0.016327,0.2882
0.016502,0.2890
0.016678,0.2898
0.016853,0.2920
0.017029,0.2964
0.017205,0.3001
0.017380,0.3017
0.017556,0.3048
0.017731,0.3052
0.017907,0.3056
0.018082,0.3055
0.018258,0.3064
0.018433,0.3058
0.018609,0.3071
0.018785,0.3073
0.018960,0.3088
0.019136,0.3109
0.019311,0.3133
0.019487,0.3134
0.019662,0.3143
0.019838,0.3142
0.020014,0.3141
0.020189,0.3128
0.020365,0.3124
0.020540,0.3128
0.020716,0.3129
0.020891,0.3124
0.021067,0.3115
0.021242,0.3096
0.021418,0.3068
0.021594,0.3026
0.021769,0.2996
0.021945,0.2964
0.022120,0.2956
0.022296,0.2935
0.022471,0.2946
0.022647,0.2948
0.022822,0.2966
0.022998,0.2955
0.023174,0.2968
0.023349,0.2961
0.023525,0.2953
0.023700,0.2966
0.023876,0.3014
0.024051,0.3065
0.024227,0.3152
0.024402,0.3210
0.024578,0.3269
0.024754,0.3308
0.024929,0.3364
0.025105,0.3472
0.025280,0.3837
0.025456,0.4664
0.025631,0.6157
0.025807,0.7837
0.025982,0.9306
0.026158,1.0584
0.026334,1.1378
0.026509,1.1528
0.026685,1.1457
0.026860,1.1542
0.027036,1.1597
0.027211,1.1670
0.027387,1.1724
0.027562,1.1813
0.027738,1.1856
0.027914,1.1922
0.028089,1.1980
0.028265,1.2027
0.028440,1.2046
0.028616,1.2096
0.028791,1.2126
0.028967,1.2157
0.029142,1.2204
0.029318,1.2259
0.029494,1.2322
0.029669,1.2378
0.029845,1.2433
0.030020,1.2483
0.030196,1.2536
0.030371,1.2574
0.030547,1.2603
0.030722,1.2638
0.030898,1.2679
0.031074,1.2712
0.031249,1.2758
0.031425,1.2810
0.031600,1.2872
0.031776,1.2944
0.031951,1.3016
0.032127,1.3082
0.032302,1.3139
0.032478,1.3192
0.032654,1.3222
0.032829,1.3252
0.033005,1.3287
0.033180,1.3328
0.033356,1.3361
0.033531,1.3394
0.033707,1.3436
0.033883,1.3490
0.034058,1.3541
0.034234,1.3588
0.034409,1.3623
0.034585,1.3650
0.034760,1.3670
0.034936,1.3676
0.035111,1.3696
0.035287,1.3714
0.035463,1.3729
0.035638,1.3729
0.035814,1.3741
0.035989,1.3725
0.036165,1.3715
0.036340,1.3711
0.036516,1.3698
0.036691,1.3695
0.036867,1.3698
0.037043,1.3698
0.037218,1.3703
0.037394,1.3735
0.037569,1.3743
0.037745,1.3753
0.037920,1.3775
0.038096,1.3775
0.038271,1.3770
0.038447,1.3811
0.038623,1.3867
0.038798,1.3947
0.038974,1.4050
0.039149,1.4128
0.039325,1.4185
0.039500,1.4239
0.039676,1.4260
0.039851,1.4272
0.040027,1.4306
0.040203,1.4336
0.040378,1.4351
0.040554,1.4353
0.040729,1.4334
0.040905,1.4296
0.041080,1.4254
0.041256,1.4203
0.041431,1.4168
0.041607,1.4151
0.041783,1.4140
0.041958,1.4142
0.042134,1.4144
0.042309,1.4146
0.042485,1.4153
0.042660,1.4168
0.042836,1.4160
0.043011,1.4145
0.043187,1.4135
0.043363,1.4110
0.043538,1.4086
0.043714,1.4074
0.043889,1.4079
0.044065,1.4090
0.044240,1.4100
0.044416,1.4110
0.044591,1.4123
0.044767,1.4139
0.044943,1.4146
0.045118,1.4158
0.045294,1.4172
0.045469,1.4183
0.045645,1.4193
0.045820,1.4208
0.045996,1.4217
0.046172,1.4218
0.046347,1.4241
0.046523,1.4271
0.046698,1.4323
0.046874,1.4363
0.047049,1.4412
0.047225,1.4438
0.047400,1.4448
0.047576,1.4438
0.047752,1.4444
0.047927,1.4452
0.048103,1.4460
0.048278,1.4483
0.048454,1.4489
0.048629,1.4521
0.048805,1.4543
0.048980,1.4568
0.049156,1.4576
0.049332,1.4606
0.049507,1.4600
0.049683,1.4604
0.049858,1.4583
0.050034,1.4609
0.050209,1.4607
0.050385,1.4608
0.050560,1.4588
0.050736,1.4584
0.050912,1.4535
0.051087,1.4508
0.051263,1.4486
0.051438,1.4480
0.051614,1.4479
0.051789,1.4482
0.051965,1.4490
0.052140,1.4489
0.052316,1.4489
0.052492,1.4481
0.052667,1.4477
0.052843,1.4477
0.053018,1.4485
0.053194,1.4522
0.053369,1.4589
0.053545,1.4661
0.053720,1.4726
0.053896,1.4807
0.054072,1.4846
0.054247,1.4869
0.054423,1.4893
0.054598,1.4911
0.054774,1.4926
0.054949,1.4937
0.055125,1.4946
0.055300,1.4928
0.055476,1.4911
0.055652,1.4868
0.055827,1.4832
0.056003,1.4780
0.056178,1.4758
0.056354,1.4725
0.056529,1.4710
0.056705,1.4698
0.056880,1.4689
0.057056,1.4676
0.057232,1.4691
0.057407,1.4679
0.057583,1.4669
0.057758,1.4660
0.057934,1.4630
0.058109,1.4588
0.058285,1.4567
0.058460,1.4549
0.058636,1.4532
0.058812,1.4535
0.058987,1.4533
0.059163,1.4541
0.059338,1.4542
0.059514,1.4561
0.059689,1.4570
0.059865,1.4582
0.060041,1.4593
0.060216,1.4600
0.060392,1.4599
0.060567,1.4612
0.060743,1.4609
0.060918,1.4630
0.061094,1.4668
0.061269,1.4697
0.061445,1.4730
0.061621,1.4770
0.061796,1.4791
0.061972,1.4802
0.062147,1.4813
0.062323,1.4832
0.062498,1.4843
0.062674,1.4847
0.062849,1.4847
0.063025,1.4856
0.063201,1.4855
0.063376,1.4880
0.063552,1.4893
0.063727,1.4911
0.063903,1.4926
0.064078,1.4913
0.064254,1.4909
0.064429,1.4918
0.064605,1.4919
0.064781,1.4940
0.064956,1.4940
0.065132,1.4943
0.065307,1.4921
0.065483,1.4900
0.065658,1.4852
0.065834,1.4837
0.066009,1.4804
0.066185,1.4790
0.066361,1.4772
0.066536,1.4774
0.066712,1.4772
0.066887,1.4766
0.067063,1.4770
0.067238,1.4774
0.067414,1.4769
0.067589,1.4762
0.067765,1.4757
0.067941,1.4789
0.068116,1.4832
0.068292,1.4904
0.068467,1.4977
0.068643,1.5048
0.068818,1.5100
0.068994,1.5130
0.069169,1.5120
0.069345,1.5140
0.069521,1.5162
0.069696,1.5147
0.069872,1.5148
0.070047,1.5138
0.070223,1.5115
0.070398,1.5073
0.070574,1.5020
0.070749,1.4970
0.070925,1.4926
0.071101,1.4885
0.071276,1.4873
0.071452,1.4870
0.071627,1.4869
0.071803,1.4883
0.071978,1.4879
0.072154,1.4866
0.072330,1.4854
0.072505,1.4828
0.072681,1.4790
0.072856,1.4762
0.073032,1.4726
0.073207,1.4712
0.073383,1.4714
0.073558,1.4722
0.073734,1.4729
0.073910,1.4734
0.074085,1.4735
0.074261,1.4738
0.074436,1.4736
0.074612,1.4744
0.074787,1.4746
0.074963,1.4748
0.075138,1.4748
0.075314,1.4753
0.075490,1.4744
0.075665,1.4775
0.075841,1.4806
0.076016,1.4852
0.076192,1.4898
0.076367,1.4937
0.076543,1.4960
0.076718,1.4974
0.076894,1.4968
0.077070,1.4966
0.077245,1.4974
0.077421,1.4978
0.077596,1.4983
0.077772,1.4992
0.077947,1.5020
0.078123,1.5057
0.078298,1.5075
0.078474,1.5109
0.078650,1.5124
0.078825,1.5114
0.079001,1.5108
0.079176,1.5097
0.079352,1.5072
0.079527,1.5074
0.079703,1.5071
0.079878,1.5044
0.080054,1.5027
0.080230,1.4997
0.080405,1.4957
0.080581,1.4925
0.080756,1.4904
0.080932,1.4883
0.081107,1.4879
0.081283,1.4877
0.081458,1.4884
0.081634,1.4881
0.081810,1.4876
0.081985,1.4871
0.082161,1.4866
0.082336,1.4847
0.082512,1.4862
0.082687,1.4912
0.082863,1.4965
0.083038,1.5042
0.083214,1.5121
0.083390,1.5184
0.083565,1.5235
0.083741,1.5275
0.083916,1.5284
0.084092,1.5302
0.084267,1.5309
0.084443,1.5305
0.084619,1.5283
0.084794,1.5261
0.084970,1.5221
0.085145,1.5167
0.085321,1.5095
0.085496,1.5047
0.085672,1.5005
0.085847,1.4982
0.086023,1.4964
0.086199,1.4961
0.086374,1.4965
0.086550,1.4973
0.086725,1.4969
0.086901,1.4989
0.087076,1.4988
0.087252,1.4950
0.087427,1.4906
0.087603,1.4872
0.087779,1.4824
0.087954,1.4792
0.088130,1.4807
0.088305,1.4817
0.088481,1.4820
0.088656,1.4832
0.088832,1.4837
0.089007,1.4823
0.089183,1.4819
0.089359,1.4822
0.089534,1.4818
0.089710,1.4823
0.089885,1.4820
0.090061,1.4829
0.090236,1.4827
0.090412,1.4847
0.090587,1.4886
0.090763,1.4937
0.090939,1.4971
0.091114,1.5012
0.091290,1.5037
0.091465,1.5046
0.091641,1.5046
0.091816,1.5040
0.091992,1.5046
0.092167,1.5052
0.092343,1.5051
0.092519,1.5055
0.092694,1.5094
0.092870,1.5104
0.093045,1.5113
0.093221,1.5130
0.093396,1.5138
0.093572,1.5120
0.093747,1.5103
0.093923,1.5099
0.094099,1.5098
0.094274,1.5099
0.094450,1.5092
0.094625,1.5092
0.094801,1.5068
0.094976,1.5030
0.095152,1.4996
0.095327,1.4970
0.095503,1.4954
0.095679,1.4938
0.095854,1.4936
0.096030,1.4928
0.096205,1.4910
0.096381,1.4900
0.096556,1.4885
0.096732,1.4873
0.096907,1.4863
0.097083,1.4863
0.097259,1.4881
0.097434,1.4928
0.097610,1.5000
0.097785,1.5085
0.097961,1.5160
0.098136,1.5207
0.098312,1.5262
0.098488,1.5279
0.098663,1.5287
0.098839,1.5305
0.099014,1.5338
0.099190,1.5325
0.099365,1.5311
0.099541,1.5297
0.099716,1.5258
0.099892,1.5187
0.100068,1.5144
0.100243,1.5085
